equipment,date,available
Treadmill,2026-03-11,Yes
Yoga_Mat,2026-03-11,Yes
Sauna,2026-03-11,No
IceBath,2026-03-11,Yes
Weights,2026-03-11,Yes
Treadmill,2026-03-12,Yes
Yoga_Mat,2026-03-12,Yes
Sauna,2026-03-12,Yes
IceBath,2026-03-12,Yes
Weights,2026-03-12,Yes
Treadmill,2026-03-13,Yes
Yoga_Mat,2026-03-13,Yes
Sauna,2026-03-13,Yes
IceBath,2026-03-13,Yes
Weights,2026-03-13,Yes
Treadmill,2026-03-14,Yes
Yoga_Mat,2026-03-14,Yes
Sauna,2026-03-14,Yes
IceBath,2026-03-14,Yes
Weights,2026-03-14,Yes
Treadmill,2026-03-15,Yes
Yoga_Mat,2026-03-15,Yes
Sauna,2026-03-15,Yes
IceBath,2026-03-15,No
Weights,2026-03-15,No
Treadmill,2026-03-16,Yes
Yoga_Mat,2026-03-16,Yes
Sauna,2026-03-16,Yes
IceBath,2026-03-16,Yes
Weights,2026-03-16,Yes
Treadmill,2026-03-17,Yes
Yoga_Mat,2026-03-17,Yes
Sauna,2026-03-17,Yes
IceBath,2026-03-17,Yes
Weights,2026-03-17,Yes
Treadmill,2026-03-18,No
Yoga_Mat,2026-03-18,Yes
Sauna,2026-03-18,Yes
IceBath,2026-03-18,Yes
Weights,2026-03-18,Yes
Treadmill,2026-03-19,Yes
Yoga_Mat,2026-03-19,No
Sauna,2026-03-19,Yes
IceBath,2026-03-19,Yes
Weights,2026-03-19,Yes
Treadmill,2026-03-20,Yes
Yoga_Mat,2026-03-20,Yes
Sauna,2026-03-20,Yes
IceBath,2026-03-20,Yes
Weights,2026-03-20,Yes
Treadmill,2026-03-21,No
Yoga_Mat,2026-03-21,Yes
Sauna,2026-03-21,Yes
IceBath,2026-03-21,No
Weights,2026-03-21,Yes
Treadmill,2026-03-22,Yes
Yoga_Mat,2026-03-22,Yes
Sauna,2026-03-22,Yes
IceBath,2026-03-22,Yes
Weights,2026-03-22,Yes
Treadmill,2026-03-23,Yes
Yoga_Mat,2026-03-23,Yes
Sauna,2026-03-23,Yes
IceBath,2026-03-23,Yes
Weights,2026-03-23,Yes
Treadmill,2026-03-24,Yes
Yoga_Mat,2026-03-24,Yes
Sauna,2026-03-24,No
IceBath,2026-03-24,Yes
Weights,2026-03-24,Yes
Treadmill,2026-03-25,Yes
Yoga_Mat,2026-03-25,Yes
Sauna,2026-03-25,Yes
IceBath,2026-03-25,Yes
Weights,2026-03-25,No
Treadmill,2026-03-26,Yes
Yoga_Mat,2026-03-26,Yes
Sauna,2026-03-26,Yes
IceBath,2026-03-26,No
Weights,2026-03-26,Yes
Treadmill,2026-03-27,Yes
Yoga_Mat,2026-03-27,Yes
Sauna,2026-03-27,Yes
IceBath,2026-03-27,Yes
Weights,2026-03-27,Yes
Treadmill,2026-03-28,Yes
Yoga_Mat,2026-03-28,No
Sauna,2026-03-28,Yes
IceBath,2026-03-28,Yes
Weights,2026-03-28,Yes
Treadmill,2026-03-29,Yes
Yoga_Mat,2026-03-29,Yes
Sauna,2026-03-29,Yes
IceBath,2026-03-29,Yes
Weights,2026-03-29,Yes
Treadmill,2026-03-30,Yes
Yoga_Mat,2026-03-30,Yes
Sauna,2026-03-30,Yes
IceBath,2026-03-30,Yes
Weights,2026-03-30,Yes
Treadmill,2026-03-31,Yes
Yoga_Mat,2026-03-31,Yes
Sauna,2026-03-31,Yes
IceBath,2026-03-31,Yes
Weights,2026-03-31,Yes
